"","year","species_id","plot_id"
"1",1977,"NL",2
"2",1977,"NL",3
"3",1977,"DM",2
"4",1977,"DM",7
"5",1977,"DM",3
"6",1977,"PF",1
"7",1977,"PE",2
"8",1977,"DM",1
"9",1977,"DM",1
"10",1977,"PF",6
"11",1977,"DS",5
"12",1977,"DM",7
"13",1977,"DM",3
"14",1977,"DM",8
"15",1977,"DM",6
"16",1977,"DM",4
"17",1977,"DS",3
"18",1977,"PP",2
"19",1977,"PF",4
"20",1977,"DS",11
"21",1977,"DM",14
"22",1977,"NL",15
"23",1977,"DM",13
"24",1977,"SH",13
"25",1977,"DM",9
"26",1977,"DM",15
"27",1977,"DM",15
"28",1977,"DM",11
"29",1977,"PP",11
"30",1977,"DS",10
"31",1977,"DM",15
"32",1977,"DM",10
"33",1977,"DM",11
"34",1977,"DM",17
"35",1977,"DM",13
"36",1977,"OT",16
"37",1977,"DM",11
"38",1977,"NL",17
"39",1977,"DM",11
"40",1977,"DM",20
"41",1977,"DM",23
"42",1977,"DS",18
"43",1977,"DM",21
"44",1977,"DM",18
"45",1977,"DM",22
"46",1977,"DM",19
"47",1977,"DM",18
"48",1977,"DM",20
"49",1977,"PP",12
"50",1977,"DM",18
"51",1977,"DM",21
"52",1977,"DM",12
"53",1977,"DM",22
"54",1977,"DM",18
"55",1977,"DM",23
"56",1977,"DM",20
"57",1977,"DM",22
"58",1977,"DS",12
"59",1977,"DM",19
"60",1977,"PE",19
"61",1977,"DM",23
"62",1977,"DM",19
"63",1977,"DM",3
"64",1977,"DM",7
"65",1977,"DM",4
"66",1977,"DM",4
"67",1977,"DM",7
"68",1977,"DO",8
"69",1977,"PF",2
"70",1977,"OX",3
"71",1977,"DM",7
"72",1977,"NL",2
"73",1977,"DS",3
"74",1977,"PF",8
"75",1977,"DM",8
"76",1977,"DS",9
"77",1977,"SS",4
"78",1977,"PF",1
"79",1977,"DM",7
"80",1977,"DS",1
"81",1977,"PF",4
"82",1977,"DM",4
"83",1977,"DM",6
"84",1977,"DM",19
"85",1977,"DM",23
"86",1977,"DM",18
"87",1977,"PF",5
"88",1977,"DM",18
"89",1977,"PP",12
"90",1977,"DM",18
"91",1977,"DS",11
"92",1977,"DM",6
"93",1977,"DM",18
"94",1977,"DM",18
"95",1977,"DM",23
"96",1977,"DM",12
"97",1977,"DM",18
"98",1977,"DM",5
"99",1977,"DM",11
"100",1977,"DS",5
"101",1977,"DM",5
"102",1977,"DM",23
"103",1977,"DM",18
"104",1977,"DS",11
"105",1977,"DM",19
"106",1977,"NL",12
"107",1977,"NL",18
"108",1977,"PP",11
"109",1977,"DM",6
"110",1977,"DS",10
"111",1977,"DM",11
"112",1977,"DM",23
"113",1977,"PF",5
"114",1977,"DM",15
"115",1977,"DM",21
"116",1977,"DM",13
"117",1977,"OX",21
"118",1977,"DM",17
"119",1977,"DM",20
"120",1977,"DM",20
"121",1977,"NL",15
"122",1977,"DM",22
"123",1977,"DM",17
"124",1977,"DM",14
"125",1977,"DM",22
"126",1977,"DM",20
"127",1977,"DM",14
"128",1977,"DM",15
"129",1977,"DM",14
"130",1977,"DM",16
"131",1977,"DM",22
"132",1977,"DM",22
"133",1977,"DM",15
"134",1977,"DS",17
"135",1977,"DM",15
"136",1977,"PF",13
"137",1977,"DM",20
"138",1977,"DM",22
"139",1977,"PF",14
"140",1977,"DM",20
"141",1977,"DM",16
"142",1977,"DM",17
"143",1977,"DM",15
"144",1977,"DS",15
"145",1977,"DM",13
"146",1977,"DM",13
"147",1977,"DM",13
"148",1977,"DM",14
"149",1977,"DS",20
"150",1977,"DM",21
"151",1977,"DM",13
"152",1977,"DM",14
"153",1977,"DS",16
"154",1977,"DS",20
"155",1977,"DS",20
"156",1977,"DM",21
"157",1977,"DM",20
"158",1977,"DM",22
"159",1977,"DS",5
"160",1977,"DM",21
"161",1977,"DM",5
"162",1977,"DM",6
"163",1977,"PP",12
"164",1977,"DM",22
"165",1977,"DS",19
"166",1977,"OX",21
"167",1977,"DM",6
"168",1977,"DM",12
"169",1977,"DM",5
"170",1977,"DM",20
"171",1977,"NL",12
"172",1977,"PF",22
"173",1977,"DM",12
"174",1977,"DM",12
"175",1977,"DM",19
"176",1977,"DS",12
"177",1977,"OX",5
"178",1977,"DM",18
"179",1977,"DM",12
"180",1977,"DM",6
"181",1977,"DM",20
"182",1977,"DS",21
"183",1977,"DM",5
"184",1977,"DS",20
"185",1977,"OX",12
"186",1977,"DM",19
"187",1977,"DM",17
"188",1977,"DS",14
"189",1977,"DM",17
"190",1977,"DM",7
"191",1977,"DS",17
"192",1977,"DM",4
"193",1977,"PE",7
"194",1977,"NL",11
"195",1977,"DS",4
"196",1977,"PF",7
"197",1977,"DM",14
"198",1977,"DM",4
"199",1977,"DM",11
"200",1977,"DS",17
"201",1977,"DS",10
"202",1977,"DM",17
"203",1977,"DM",11
"204",1977,"DM",16
"205",1977,"DS",16
"206",1977,"DS",23
"207",1977,"DS",16
"208",1977,"DM",14
"209",1977,"DM",17
"210",1977,"DM",11
"211",1977,"DS",4
"212",1977,"PF",16
"213",1977,"DM",14
"214",1977,"NL",17
"215",1977,"DM",14
"216",1977,"PF",4
"217",1977,"PP",3
"218",1977,"PF",1
"219",1977,"DM",13
"220",1977,"DS",2
"221",1977,"DM",3
"222",1977,"DS",1
"223",1977,"DS",8
"224",1977,"NL",2
"225",1977,"DM",15
"226",1977,"DM",2
"227",1977,"DM",15
"228",1977,"DM",9
"229",1977,"DM",13
"230",1977,"DM",15
"231",1977,"DS",15
"232",1977,"DS",9
"233",1977,"DM",2
"234",1977,"DM",9
"235",1977,"DM",13
"236",1977,"DS",9
"237",1977,"DS",9
"238",1977,"PE",2
"239",1977,"DS",1
"240",1977,"DS",9
"241",1977,"DS",3
"242",1977,"OX",2
"243",1977,"DM",6
"244",1977,"DM",22
"245",1977,"DM",2
